category_type,category,label,samples
folder_1,SPEECHFAKE_CommonVoice,bonafide,141990
folder_1,Synthesizers,spoof,83021
folder_1,Real,bonafide,81826
folder_1,asvspoof2021_la_eval,spoof,61080
folder_1,vocoded,spoof,29698
folder_1,trim_librosa,spoof,14924
folder_1,KSASV_may_toys,spoof,14915
folder_1,trim_librosa,bonafide,10996
folder_1,asvspoof2021_la_eval,bonafide,6791
folder_1,KSASV_may_toys,bonafide,4607
folder_1,AIHub,spoof,4128
folder_1,ITW_Spoof_Dec25_toys,spoof,4059
folder_1,SNS,bonafide,1323
folder_1,202502_Elevenlabs,spoof,1214
folder_1,More_Korean_TTS,spoof,891
folder_1,Elevenlabs_failed_detection_Dec_09,spoof,736
folder_1,2024_Telephone_Fake,spoof,366
folder_1,2024_Telephone_Real,bonafide,333
folder_1,SNS,spoof,87
