category_type,category,label,samples
generator,ultimate_cloning,spoof,2162
generator,controllable_voice_cloning,spoof,1979
generator,Veo3,spoof,1968
generator,Sora,spoof,1773
generator,Voxtral_TTS,spoof,1659
generator,Seedance2,spoof,1531
generator,VEO3,spoof,994
generator,MiraTTS,spoof,827
generator,tts,spoof,791
generator,WAN,spoof,696
generator,OmniVoice,spoof,624
generator,MagpieTTS,spoof,270
generator,voice_design,spoof,262
generator,Qwen3-TTS-12Hz-1.7B-CustomVoice,spoof,130
generator,Qwen3-TTS-12Hz-1.7B-VoiceDesign,spoof,48
generator,Qwen3-TTS,spoof,12
generator,video_mps_multiple_bitrate_83c29219-b8d4-4762-8e79-4bfca28f6746,spoof,6
generator,video_mps_multiple_bitrate_b9a7637b-7046-4620-81e6-61b02ca91fc9,spoof,6
generator,video_mps_multiple_bitrate_692f56b2-bb0d-4127-a83a-407c66998dd3,spoof,5
generator,video_mps_multiple_bitrate_59503e56-d0e3-4f3b-8efb-a5c92a9aa94a,spoof,5
generator,video_mps_multiple_bitrate_f530c12e-ef8f-44cd-91d5-b34f72fa3f62,spoof,4
generator,video_mps_multiple_bitrate_9019d4e0-6494-43d6-9389-4858661f977f,spoof,4
generator,video_mps_multiple_bitrate_4b8dd50e-add2-4393-a083-81b50cdcc77f,spoof,4
generator,video_mps_multiple_bitrate_de886d25-2f19-47b7-912f-709af03f1310,spoof,4
generator,video_mps_multiple_bitrate_5205c59b-bfcc-49b1-9e1b-f32886417529,spoof,4
generator,video_mps_multiple_bitrate_8df12758-ba18-42f1-8048-7dac9b75c3a7,spoof,4
generator,video_mps_multiple_bitrate_cd835406-16a3-4388-89d4-32ef307545e9,spoof,4
generator,video_mps_multiple_bitrate_fbef4238-4920-4822-9404-fe7d235e2257,spoof,4
generator,video_mps_multiple_bitrate_cde5a129-9cdf-48c3-8c52-a391b67e9fed,spoof,3
generator,video_mps_multiple_bitrate_1bedf328-a69c-417c-8591-b02cd7c714b0,spoof,3
generator,video_mps_multiple_bitrate_c9fe902b-9b2f-4cf9-8d6c-62dddfdfc835,spoof,3
generator,video_mps_multiple_bitrate_e5080091-e2ca-4a51-aed0-1fe12d370162,spoof,3
generator,video_mps_multiple_bitrate_9138a0f7-a2cc-4e26-9f5f-c82c84e6756e,spoof,3
