ID,Label,Duration,SampleRate,Path,Attack,Speaker,Proportion,AudioChannel,AudioEncoding,AudioBitSample,Language
VoiceMOS-0-sys02a43-utt06005a4,fake,4.76,16000,main/DATA/wav/sys02a43-utt06005a4.wav,-,-,-,1,PCM_S,16,-
VoiceMOS-1-sys02a43-utt18f7a69,fake,2.59,16000,main/DATA/wav/sys02a43-utt18f7a69.wav,-,-,-,1,PCM_S,16,-
VoiceMOS-2-sys02a43-utt19b760a,fake,4.45,16000,main/DATA/wav/sys02a43-utt19b760a.wav,-,-,-,1,PCM_S,16,-
VoiceMOS-3-sys02a43-utt209c83f,fake,4.82,16000,main/DATA/wav/sys02a43-utt209c83f.wav,-,-,-,1,PCM_S,16,-
VoiceMOS-4-sys02a43-utt22adfe2,fake,2.28,16000,main/DATA/wav/sys02a43-utt22adfe2.wav,-,-,-,1,PCM_S,16,-
VoiceMOS-5-sys02a43-utt2c22319,fake,3.56,16000,main/DATA/wav/sys02a43-utt2c22319.wav,-,-,-,1,PCM_S,16,-
VoiceMOS-6-sys02a43-utt53325d7,fake,1.31,16000,main/DATA/wav/sys02a43-utt53325d7.wav,-,-,-,1,PCM_S,16,-
VoiceMOS-7-sys02a43-utt5969de0,fake,4.31,16000,main/DATA/wav/sys02a43-utt5969de0.wav,-,-,-,1,PCM_S,16,-
VoiceMOS-8-sys02a43-utt5a8622c,fake,3.83,16000,main/DATA/wav/sys02a43-utt5a8622c.wav,-,-,-,1,PCM_S,16,-
VoiceMOS-9-sys02a43-utt5d8f863,fake,6.2,16000,main/DATA/wav/sys02a43-utt5d8f863.wav,-,-,-,1,PCM_S,16,-
VoiceMOS-10-sys02a43-utt6f1eea3,fake,6.08,16000,main/DATA/wav/sys02a43-utt6f1eea3.wav,-,-,-,1,PCM_S,16,-
VoiceMOS-11-sys02a43-utt7402f48,fake,2.07,16000,main/DATA/wav/sys02a43-utt7402f48.wav,-,-,-,1,PCM_S,16,-
VoiceMOS-12-sys02a43-utt75262c4,fake,4.45,16000,main/DATA/wav/sys02a43-utt75262c4.wav,-,-,-,1,PCM_S,16,-
VoiceMOS-13-sys02a43-utt824c4a5,fake,3.17,16000,main/DATA/wav/sys02a43-utt824c4a5.wav,-,-,-,1,PCM_S,16,-
VoiceMOS-14-sys02a43-utt82711f0,fake,1.21,16000,main/DATA/wav/sys02a43-utt82711f0.wav,-,-,-,1,PCM_S,16,-
